5000,12497500,0.029,4999,0.001,12497500,0.026,32004,0.000001,126306,0.001,23094085,0.057  
10000,49995000,0.116,9999,0.003,49995000,0.097,69008,0.00003,272630,0.0025,86372450,0.266  
15000,112492500,0.255,14999,0.005,112492500,0.229,106364,0.0001,425284,0.003,181030981,0.437  
25000,312487500,0.699,24999,0.019,312487500,0.657,188746,0.002,748370,0.005,439528618,1.034  
50000,1249975000,2.778,49999,0.037,1249975000,2.585,401952,0.004,1598076,0.008,1279630206,3.071  
80000,3199960000,7.116,79999,0.066,3199960000,6.68,672064,0.015,2664760,0.016,2399702715,5.916  
100000,4999950000,11.113,99999,0.089,4999950000,10.386,853904,0.028,3396452,0.038,3128560196,7.73
