5000,12497500,0.037,12497487,0.028,12497500,0.019,30025,0.000001,111834,0.001,18093923,0.043
10000,49995000,0.179,49994852,0.114,49995000,0.114,65524,0.00004,243372,0.0024,69151095,0.184
15000,112492500,0.471,112492027,0.245,112492500,0.258,103945,0.000093,383300,0.003,149783776,0.316
25000,312487500,1.123,312485551,0.716,312487500,0.851,184331,0.002,678288,0.004,386322690,0.865
50000,1249975000,4.56,1249961055,2.941,1249975000,4.449,402364,0.004,1447838,0.007,1277204745,2.918
80000,3199960000,13.429,3199912615,7.275,3199960000,11.656,679144,0.015,2427686,0.017,2396348731,5.789
100000,4999950000,18.119,4999865434,12.476,4999950000,16.196,878390,0.031,3095416,0.035,3028732763,7.66
