5000,12497500,0.025,6199101,0.001,12497500,0.028,55196,0.000001,119150,0.000001,117613,0.000001
10000,49995000,0.152,24889420,0.049,49995000,0.101,120589,0.00002,258194,0.00002,232633,0.00003
15000,112492500,0.403,55635848,0.172,112492500,0.226,189398,0.002,404782,0.002,376494,0.002
25000,312487500,1.373,156283217,0.423,312487500,0.632,334175,0.0034,712224,0.012,676081,0.013
50000,1249975000,6.09,629513858,1.407,1249975000,2.577,718145,0.007,1524448,0.026,1380666,0.028
80000,3199960000,15.848,1595889377,3.611,3199960000,6.817,1203544,0.011,2546832,0.037,2367918,0.043
100000,4999950000,24.527,2498243508,5.716,4999950000,10.304,1536429,0.021,3249500,0.058,3245734,0.057
